energy,coupling_re,coupling_im
0.88786193145396486,0.24471409275166547,0
-0.88786193145396208,0.24471409015443943,0
0.64645376895797957,0.35017418139760653,0
-0.64645376895798601,0.35017418643962489,0
0.41685410754147739,0.3391124256704513,0
-0.41685410754147578,0.33911241830549388,0
0.25312730966097902,0.28338754770938041,0
-0.25312730966099672,0.28338755753375611,0
0.14998165354012724,0.22352752489708816,0
-0.14998165354010826,0.22352751226136225,0
0.087992772204090075,0.17315011146871426,0
-0.087992772204118982,0.1731501271799139,0
0.051175565354713425,0.13339781092973216,0
-0.05117556535460286,0.13339779201150917,0
0.029483548644664025,0.10206579627191859,0
-0.029483548644719124,0.10206581871804561,0
0.016892287204490753,0.077426640194912841,0
-0.016892287204046119,0.077426613777873216,0
0.0096791758385841118,0.058568754415934815,0
-0.0096791758388568294,0.058568784160774837,0
0.005522450873834777,0.044767125212162175,0
-0.005522450871994284,0.04476709560674344,0
0.0030507492555968191,0.034914234639378837,0
-0.0030507492586428282,0.034914258878430471,0
0.0015203842671049786,0.027706652424358567,0
-0.0015203842496708444,0.027706636105477474,0
0.00055820235661950405,0.021713723535336821,0
-0.00055820242800762234,0.021713733099850963,0
8.3738179088736242e-11,0.016827932605884381,0
